RA,DEC,BRICKNAME,FLUX_G,FLUX_R,FLUX_Z,FLUX_W1,TYPE,g_mag,r_mag,z_mag,w1_mag,r_minus_z,z_minus_w1,is_lrg_v1,is_lrg_v2,is_lrg_v3,is_lrg_v4,is_lrg_v5,phase3_ranking_mode,region_id,phase3_region_rank
3.531162825681309,-31.933461955133513,0036m320,2.2869265,5.316453,9.485735,29.03186,REX,21.6018694788468,20.685945056930816,20.05732253757432,18.8428128345914,0.6286225193564974,1.2145097029829195,False,False,True,True,True,density_v3,25,2
3.5318317891692343,-31.89862766256553,0036m320,0.5150224,2.1517549,7.331287,24.744497,SER,23.220434710406956,21.66801802059876,20.337049460519363,19.016303411856107,1.3309685600793948,1.3207460486632563,False,False,True,True,True,density_v3,25,2
3.532534150973877,-31.951016799922904,0036m320,0.8846949,3.7031987,7.480796,15.786199,REX,22.633016222302505,21.078557470110937,20.315130490851484,19.50430609341515,0.763426979259453,0.8108243974363347,False,False,True,True,True,density_v3,25,2
3.5327340417781303,-31.929640101549154,0036m320,1.2014395,6.475274,20.092611,45.67301,DEV,22.300745234519436,20.47185461000193,19.242409042515824,18.35085087276626,1.2294455674861062,0.8915581697495654,False,False,True,True,True,density_v3,25,2
3.536248785289135,-32.01401932906371,0036m320,0.78826356,4.1155643,12.453839,31.585089,SER,22.75832137496263,20.96392650946165,19.761741856227722,18.751294746834294,1.2021846532339282,1.0104471093934286,False,False,True,True,True,density_v3,25,2
3.5363119104018903,-32.021651224481595,0036m320,1.0180093,5.2646685,15.417703,35.429226,SER,22.48062063090233,20.696572431804945,19.529950834512576,18.626595840705072,1.1666215972923695,0.9033549938075041,False,False,True,True,True,density_v3,25,2
3.537767945792222,-32.016308003108264,0036m320,0.6775082,3.311252,9.698715,22.550821,SER,22.922713649665283,21.200019377535725,20.033214482422117,19.117094091068232,1.1668048951136072,0.9161203913538856,False,False,True,True,True,density_v3,25,2
3.5408510195083043,-32.041420021424585,0036m320,0.3059667,2.0867465,13.216901,54.113655,DEV,23.785814575831022,21.70132578942818,19.697175921916944,18.16673282697084,2.0041498675112344,1.5304430949461043,False,False,True,True,True,density_v3,25,2
3.5426740939195924,-31.972720999143817,0036m320,0.7376251,3.297283,8.7872095,33.04818,EXP,22.830410751202784,21.20460946298464,20.140372546805253,18.702131143770693,1.0642369161793859,1.43824140303456,False,False,True,True,True,density_v3,25,2
3.5446874051577706,-31.95267531196799,0036m320,0.5948057,2.9455075,8.083947,25.504051,SER,23.064062163871416,21.327099658029685,20.23094133177186,18.98347707070437,1.0961583262578252,1.2474642610674884,False,False,True,True,True,density_v3,25,2
