region_id,brickname,ra,dec,area_deg2,n_gal,n_lrg_v1_pure_massive,n_lrg_v2_baseline_dr10,n_lrg_v3_color_relaxed,n_lrg_v4_mag_relaxed,n_lrg_v5_very_relaxed
61,0061m045,6.142061281337047,-4.5,0.0624808418254825,4975,14,22,134,270,456
62,0062m100,6.211267605633803,-10.0,0.0624173432824352,2916,10,23,112,230,437
63,0063m277,6.347962382445141,-27.75,0.0624207086114856,5546,10,21,115,253,459
64,0063m845,6.338028169014085,-84.5,0.0607472597460629,4614,10,26,133,318,545
65,0066m065,6.662011173184357,-6.5,0.0624451089910204,4176,17,36,105,232,402
65,0069m065,6.91340782122905,-6.5,0.0624451089910204,3878,11,20,80,174,301
65,0066m067,6.662011173184357,-6.75,0.0624134708283043,3845,18,29,79,182,347
66,0067p102,6.727785613540197,10.25,0.0624566943109199,3309,17,37,148,306,504
67,0068p310,6.844660194174757,31.0,0.0624150451990297,2262,13,23,125,232,389
67,0068p312,6.855753646677472,31.25,0.0623517077183071,2012,15,34,111,232,384
68,0069m330,6.991735537190083,-33.0,0.0623804059822004,4957,24,56,127,280,538
69,0069p165,6.903039073806078,16.5,0.0624411777738823,2138,10,19,87,198,379
70,0069p177,6.943231441048035,17.75,0.0623839548558129,1848,14,29,78,174,310
70,0069p180,6.9533527696793,18.0,0.0623870397712544,1684,16,27,87,188,300
71,0070m115,7.011331444759207,-11.5,0.0624597404068403,2399,17,32,79,168,330
71,0070m117,7.011331444759207,-11.75,0.0624036987428957,1984,33,60,128,234,372
72,0070p207,7.077151335311573,20.75,0.0624347938487022,2349,15,24,105,231,373
73,0073m040,7.385257301808067,-4.0,0.0624344181520264,4447,10,26,110,260,465
74,0076m332,7.611940298507463,-33.25,0.0624093651077194,4629,14,18,87,188,335
75,0078p145,7.865329512893982,14.5,0.0624163456399942,2506,10,18,94,212,375
75,0081p145,8.12320916905444,14.5,0.0624163456399939,2548,20,26,99,223,362
76,0078p287,7.832278481012659,28.75,0.0624251150474979,1912,16,27,111,251,422
77,0080p187,8.038067349926793,18.75,0.0623891976930968,2730,16,34,174,336,526
78,0081p260,8.194444444444445,26.0,0.0624162037020059,2527,27,50,146,294,476
79,0084m065,8.421787709497206,-6.5,0.0624451089910062,3815,13,26,100,223,400
80,0091p240,9.150227617602429,24.0,0.0623816585474483,2435,17,29,129,278,466
81,0095m557,9.50859950859951,-55.75,0.0622265396944448,4242,12,27,83,192,330
82,0099p142,9.914163090128756,14.25,0.0623967901828787,2060,21,39,133,255,451
83,0105m097,10.52112676056338,-9.75,0.0624647710927904,6238,11,22,107,236,411
84,0105m202,10.50221565731167,-20.25,0.0623612653258152,5371,11,16,139,308,530
85,0106m800,10.62992125984252,-80.0,0.0615288330411993,5615,10,20,98,219,377
86,0111p032,11.14047287899861,3.25,0.0624862163214896,5118,11,28,125,249,425
87,0115m580,11.51436031331593,-58.0,0.062262005153481,4943,10,24,82,196,373
88,0115p155,11.52517985611511,15.5,0.0623932892019226,1940,26,38,110,238,400
88,0117p155,11.7841726618705,15.5,0.0623932892019257,2202,31,50,100,219,379
89,0117p327,11.71334431630972,32.75,0.0623504539712361,2283,22,39,147,275,426
89,0120p327,12.00988467874794,32.75,0.0623504539712368,1951,11,23,100,208,348
90,0118m022,11.875,-2.25,0.0624517652236229,4205,11,21,104,215,377
91,0119p072,11.95804195804196,7.25,0.0624338284246811,2427,10,22,100,215,377
91,0122p075,12.20979020979021,7.5,0.0623985781396702,2059,14,30,82,171,301
92,0121p270,12.17729393468118,27.0,0.0623565502051444,2832,20,38,124,257,425
93,0126m572,12.65984654731458,-57.25,0.0622604396424742,5183,10,15,107,254,408
94,0130m597,13.06849315068493,-59.75,0.0621090711881027,4376,12,27,87,175,324
95,0131p305,13.16720257234727,30.5,0.0623364653729772,2178,14,20,96,220,393
96,0132m240,13.24734446130501,-24.0,0.0623816585474509,5960,16,35,111,252,462
97,0132m627,13.28313253012048,-62.75,0.0620611742029508,3549,18,28,83,170,278
97,0134m630,13.40425531914894,-63.0,0.0620959157508382,3496,20,29,65,152,275
98,0133m377,13.39754816112084,-37.75,0.0623134896549071,6281,10,18,125,235,349
99,0137m377,13.71278458844133,-37.75,0.0623134896549093,3204,10,24,98,181,270
99,0139m375,13.97905759162304,-37.5,0.0623051867233798,8804,10,21,201,327,479
99,0140m377,14.02802101576182,-37.75,0.0623134896549093,5812,11,20,155,222,297
100,0138p245,13.85670731707317,24.5,0.0624210742473167,2087,26,53,169,339,575
101,0139m072,13.97202797202797,-7.25,0.0624338284246669,2363,13,21,72,170,283
102,0139m277,13.96551724137931,-27.75,0.0624207086114858,5637,10,29,165,329,536
103,0140p262,14.04945904173107,26.25,0.062379043822251,2531,12,21,107,195,341
103,0143p262,14.32766615146832,26.25,0.0623790438222485,2314,10,15,107,234,396
104,0141m027,14.125,-2.75,0.0624279746327597,4610,13,24,90,204,373
105,0146p267,14.67391304347826,26.75,0.0623975474790685,2380,16,31,139,305,488
106,0148m025,14.875,-2.5,0.0624404643164079,4569,10,18,72,185,358
107,0148m497,14.83940042826552,-49.75,0.0622602912612868,6429,10,26,95,213,370
108,0149p065,14.95810055865922,6.5,0.0624451089910196,2768,27,57,133,297,533
109,0150p250,15.0,25.0,0.0623605780793023,2407,16,32,110,232,447
110,0151m015,15.125,-1.5,0.0624785332483157,4690,11,25,133,279,474
110,0151m017,15.125,-1.75,0.0624707998707726,4316,12,35,95,216,390
111,0152m122,15.21306818181818,-12.25,0.062465006969126,3083,19,39,103,217,393
112,0152m535,15.27906976744186,-53.5,0.0622488469074846,5279,11,21,115,265,455
113,0152p085,15.27349228611501,8.5,0.0624203065161962,2742,10,20,113,240,393
114,0156m410,15.68807339449541,-41.0,0.0623154204933821,4998,12,20,71,187,338
115,0161p057,16.19246861924686,5.75,0.0624456733661833,2563,16,26,94,217,388
116,0162m317,16.27035830618892,-31.75,0.0623221820349953,4467,30,53,96,234,384
117,0162m480,16.2111801242236,-48.0,0.062341311387085,7408,17,41,148,300,533
118,0162p162,16.25722543352601,16.25,0.0624309381158088,2050,16,23,92,195,337
119,0162p192,16.25550660792952,19.25,0.0623846875421464,2388,13,32,96,228,425
120,0164p125,16.49147727272727,12.5,0.0624052350415076,2455,23,46,107,234,421
120,0167p125,16.74715909090909,12.5,0.0624052350415053,2525,16,34,121,271,450
121,0165m467,16.54545454545455,-46.75,0.0622893133443901,4056,10,22,136,323,559
122,0171p100,17.11267605633803,10.0,0.0624173432824344,2081,19,32,86,189,330
123,0175p157,17.50720461095101,15.75,0.0624069903217798,2154,24,44,129,247,418
124,0175p255,17.55760368663594,25.5,0.0623906383653528,2082,14,35,113,233,440
125,0176p025,17.625,2.5,0.0624404643164087,4486,11,23,126,261,417
126,0176p312,17.64991896272285,31.25,0.0623517077183074,2106,15,21,71,157,301
126,0179p310,17.9126213592233,31.0,0.0624150451990297,2418,14,22,112,214,357
126,0178p307,17.85483870967742,30.75,0.0623762223210334,2453,22,43,129,256,456
126,0177p305,17.79742765273312,30.5,0.0623364653729796,2819,25,35,136,300,538
127,0178m022,17.875,-2.25,0.0624517652236229,4526,13,27,93,226,437
128,0178m135,17.84593437945792,-13.5,0.0624202734762766,4832,26,51,139,288,514
129,0179p222,17.94602698650675,22.25,0.0624427131056328,2249,17,35,117,250,439
130,0180m300,18.0,-30.0,0.0623537796087911,5300,12,19,105,228,392
131,0183p270,18.33592534992224,27.0,0.0623565502051461,2184,12,26,95,212,383
131,0183p272,18.39313572542902,27.25,0.0624114502828521,1920,13,27,90,198,331
132,0185p262,18.50077279752705,26.25,0.0623790438222492,2400,11,22,105,214,340
133,0185p285,18.59621451104101,28.5,0.0623765594611283,2103,20,38,133,272,420
134,0186m022,18.625,-2.25,0.0624517652236229,4242,17,38,148,304,524
135,0189p257,18.96923076923077,25.75,0.0623559824876632,1979,35,73,154,288,447
136,0191p187,19.10688140556369,18.75,0.0623891976930987,2492,12,17,86,199,355
137,0193m652,19.30693069306931,-65.25,0.0621771394196121,4315,10,27,111,217,390
138,0193p090,19.33988764044944,9.0,0.0624240731305223,2282,39,61,112,236,412
139,0193p262,19.33539412673879,26.25,0.0623790438222492,2069,18,45,110,234,405
140,0194p140,19.44206008583691,14.0,0.0624653405514125,2233,15,29,116,227,402
140,0194p142,19.44206008583691,14.25,0.0623967901828795,2601,11,30,131,277,459
141,0198m560,19.82673267326733,-56.0,0.062286288847719,4710,14,27,103,256,440
142,0199p062,19.98603351955307,6.25,0.0624755582888608,3060,13,25,93,209,377
143,0203p222,20.37481259370315,22.25,0.0624427131056299,2626,11,20,129,292,482
143,0204p225,20.40540540540541,22.5,0.0624242432176573,2280,10,17,106,235,387
144,0203p287,20.36392405063291,28.75,0.0624251150474976,2162,10,27,105,223,398
145,0205p255,20.59907834101383,25.5,0.0623906383653528,2258,21,37,129,250,384
146,0206m050,20.68245125348189,-5.0,0.0624355513267689,4508,15,28,95,227,404
147,0206m377,20.64798598949212,-37.75,0.062313489654909,4747,13,25,102,240,450
148,0206p017,20.625,1.75,0.0624707998707726,4958,13,39,114,242,434
149,0206p317,20.66775244299674,31.75,0.0623221820349825,2542,21,42,125,269,482
150,0208m180,20.8600583090379,-18.0,0.0623870397712546,5070,17,26,112,235,416
151,0208m310,20.8252427184466,-31.0,0.0624150451990297,5246,24,40,134,265,457
152,0209p205,20.93333333333333,20.5,0.062444763080688,2323,26,47,118,247,411
153,0211p240,21.16843702579666,24.0,0.0623816585474501,1917,17,38,109,246,431
154,0212p247,21.29770992366412,24.75,0.0623914662653966,2283,10,18,114,246,405
155,0213m460,21.33466135458167,-46.0,0.0622701232533746,5652,12,32,178,341,570
156,0213p147,21.30559540889526,14.75,0.0624347671881687,2391,21,37,104,226,385
157,0213p215,21.32637853949329,21.5,0.0623975519310745,2702,13,15,106,206,351
158,0214m067,21.49441340782123,-6.75,0.0624134708283036,3456,11,20,127,253,429
159,0214m735,21.40776699029126,-73.5,0.0620421377334135,7528,10,23,113,242,417
160,0215p230,21.55120481927711,23.0,0.0623835625689345,2510,11,23,121,251,424
161,0216p270,21.69517884914464,27.0,0.062356550205144,3140,12,21,159,355,610
162,0217m325,21.72413793103448,-32.5,0.0623195155250387,3797,66,120,202,362,604
163,0219m110,21.99152542372881,-11.0,0.0623915087763534,3156,11,17,110,243,463
164,0220m432,22.0722433460076,-43.25,0.0623130563570313,1919,15,40,92,190,320
164,0221m435,22.15648854961832,-43.5,0.0622935511481102,3834,13,24,91,208,358
165,0220p167,22.04347826086957,16.75,0.0624502565992159,2457,20,40,107,262,436
166,0222m367,22.26643598615917,-36.75,0.0623813027135954,4669,11,25,118,251,462
167,0222p105,22.21438645980254,10.5,0.0624068205088685,1941,10,22,77,172,302
168,0222p205,22.26666666666667,20.5,0.0624447630806887,2436,19,29,102,207,342
169,0223m467,22.36363636363636,-46.75,0.062289313344388,4465,23,42,120,243,446
170,0225p062,22.5,6.25,0.0624755582888585,2292,15,24,106,209,363
171,0226p027,22.625,2.75,0.0624279746327597,4448,38,59,107,228,387
171,0226p030,22.625,3.0,0.0624142964104617,4356,39,58,125,228,417
172,0226p150,22.62931034482759,15.0,0.0624520512960062,2395,13,36,118,229,406
173,0228m752,22.86486486486486,-75.25,0.0619301544899171,3889,16,25,73,149,269
174,0229m302,22.96950240770466,-30.25,0.0623957735113284,4414,12,26,105,227,407
175,0229p155,22.92086330935252,15.5,0.062393289201923,2084,17,36,108,238,408
176,0230p107,23.00847457627119,10.75,0.0624438316762349,2737,10,17,83,200,344
177,0231p120,23.1063829787234,12.0,0.062434903710281,2596,10,25,101,249,432
178,0233p225,23.37837837837838,22.5,0.0624242432176691,2004,10,28,100,219,377
179,0235p185,23.55263157894737,18.5,0.0623896646661379,2091,20,37,120,249,427
179,0238p185,23.81578947368421,18.5,0.0623896646661386,2348,23,37,162,342,582
180,0236m035,23.65785813630042,-3.5,0.0624701394968345,4465,14,26,84,203,356
181,0236m190,23.6217008797654,-19.0,0.0623875398085988,4527,15,33,103,211,406
182,0236m282,23.66929133858268,-28.25,0.062425278383907,4949,17,32,110,241,401
183,0240m365,24.05172413793104,-36.5,0.0623681552279636,5105,19,42,162,286,551
184,0240p077,24.07563025210084,7.75,0.0624494818083053,1944,25,43,100,210,334
184,0243p077,24.32773109243697,7.75,0.062449481808288,2455,16,28,116,223,354
185,0241p225,24.18918918918919,22.5,0.0624242432176573,2074,11,24,87,204,359
186,0246p185,24.60526315789474,18.5,0.0623896646661522,2249,13,20,97,205,358
187,0248m080,24.83193277310924,-8.0,0.0624118035622273,4558,18,27,77,199,392
188,0248p165,24.87698986975398,16.5,0.0624411777738814,1914,12,23,77,179,287
189,0250m230,25.07530120481928,-23.0,0.0623835625689491,5126,16,33,102,203,339
190,0251m487,25.14705882352941,-48.75,0.0623330633248111,3552,12,27,81,190,363
191,0253m030,25.375,-3.0,0.0624142964104617,3503,11,22,66,159,328
192,0254m802,25.40322580645161,-80.25,0.0614574324828886,3208,19,31,133,254,414
193,0256m037,25.66063977746871,-3.75,0.0624528733307719,4051,13,19,88,172,324
194,0258p137,25.84285714285714,13.75,0.0624433692389506,2307,13,16,129,223,347
195,0258p325,25.86206896551724,32.5,0.0623195155250253,2152,12,20,87,205,365
196,0259m047,25.94707520891365,-4.75,0.0624587911387938,4611,15,28,120,257,434
197,0263m265,26.3312693498452,-26.5,0.0623405794509446,4853,10,20,131,272,477
198,0263m287,26.34493670886076,-28.75,0.0624251150475108,4546,10,16,103,216,379
199,0263p287,26.34493670886076,28.75,0.0624251150475108,2756,19,27,158,303,498
200,0264m032,26.41168289290681,-3.25,0.0624862163214919,4111,11,26,123,268,446
201,0264m057,26.48535564853556,-5.75,0.0624456733661841,4621,17,38,141,293,486
202,0265m507,26.58643326039387,-50.75,0.0623013505457629,3212,17,34,81,195,375
203,0265p102,26.53032440056418,10.25,0.0624566943109215,2442,14,21,118,237,369
203,0265p105,26.53032440056418,10.5,0.06240682050887,2235,11,24,86,211,345
204,0265p190,26.52492668621701,19.0,0.0623875398085973,2154,14,31,81,179,322
204,0265p192,26.56387665198238,19.25,0.0623846875421479,2648,15,35,120,239,393
204,0267p190,26.78885630498534,19.0,0.0623875398086138,2232,22,37,115,229,399
205,0268m417,26.88311688311688,-41.75,0.062286744425797,4393,13,26,102,216,420
206,0268m462,26.82,-46.25,0.062236125650045,5016,15,27,132,291,532
207,0268m802,26.85483870967742,-80.25,0.061457432482889,2767,18,37,168,326,509
208,0269p215,26.95976154992549,21.5,0.0623975519310752,2468,12,39,141,311,510
209,0272m147,27.24533715925395,-14.75,0.0624347671881702,5030,10,26,96,246,463
210,0274m047,27.45125348189415,-4.75,0.0624587911387938,4939,16,29,134,290,485
210,0274m050,27.45125348189415,-5.0,0.0624355513267689,4924,10,22,104,245,451
211,0275m290,27.52773375594295,-29.0,0.0623737806650867,6221,12,33,173,352,559
212,0276m177,27.64192139737991,-17.75,0.0623839548558273,6054,28,49,189,378,620
213,0278m155,27.84172661870504,-15.5,0.0623932892019253,6316,14,26,148,296,537
213,0278m157,27.88184438040346,-15.75,0.0624069903217821,5666,10,21,92,197,369
214,0279p182,27.98540145985401,18.25,0.0623889442004926,2219,10,15,122,235,398
215,0282m462,28.26,-46.25,0.0622361256500473,3302,24,46,142,277,471
216,0284p087,28.44101123595506,8.75,0.062466618945461,2410,22,36,115,245,426
217,0286m462,28.62,-46.25,0.0622361256500445,4324,31,45,140,298,507
218,0286m762,28.61271676300578,-76.25,0.0618257610978171,4394,10,16,91,207,344
219,0287m357,28.72013651877133,-35.75,0.0623221846713118,4116,13,25,78,184,328
220,0287p047,28.70473537604457,4.75,0.0624587911388089,4805,24,42,139,279,494
221,0288p172,28.86792452830189,17.25,0.0623742574875115,2695,34,56,143,321,523
222,0290m225,29.05405405405405,-22.5,0.0624242432176551,5045,11,28,104,191,359
222,0293m225,29.32432432432432,-22.5,0.0624242432176713,4810,10,16,81,161,320
223,0293m265,29.39628482972136,-26.5,0.0623405794509432,4836,15,30,122,237,422
224,0293p312,29.3192868719611,31.25,0.0623517077183068,2205,10,20,95,231,366
224,0295p310,29.5631067961165,31.0,0.0624150451990195,1737,19,35,85,178,290
225,0294p277,29.48275862068965,27.75,0.0624207086114847,2277,35,52,122,269,469
226,0295m070,29.58041958041958,-7.0,0.0624678900595819,4219,18,29,90,193,329
227,0297m207,29.77744807121662,-20.75,0.0624347938487029,3867,11,18,66,165,300
227,0300m207,30.04451038575668,-20.75,0.0624347938486999,4521,17,38,124,257,420
227,0300m210,30.08915304606241,-21.0,0.0624236045557708,3946,16,36,121,239,429
227,0298m212,29.86607142857143,-21.25,0.0624111917373852,5133,14,24,117,248,410
227,0298m210,29.82169390787519,-21.0,0.0624236045557679,4510,18,28,106,217,422
228,0298m430,29.82954545454545,-43.0,0.0623312319421958,7311,11,20,101,250,455
229,0299m085,29.91584852734923,-8.5,0.0624203065161954,3844,15,28,113,219,366
229,0301m085,30.16830294530154,-8.5,0.0624203065161922,3280,36,77,166,303,500
230,0299m137,29.95714285714286,-13.75,0.0624433692389514,4605,10,25,100,222,378
231,0300p070,30.08391608391608,7.0,0.0624678900595677,2598,14,38,137,258,418
232,0303m447,30.35087719298246,-44.75,0.0622969133553926,3933,14,26,83,184,343
233,0303p180,30.30612244897959,18.0,0.062387039771269,2123,15,31,91,189,348
234,0304m847,30.44117647058824,-84.75,0.0605524937277737,3279,10,22,118,245,411
235,0305m662,30.51369863013699,-66.25,0.0620670776255303,3151,10,19,100,197,352
236,0305p162,30.5635838150289,16.25,0.0624309381158095,1692,13,25,79,183,313
237,0306p077,30.63025210084034,7.75,0.0624494818083029,2221,56,101,186,334,527
238,0306p135,30.68473609129815,13.5,0.0624202734762727,1760,16,39,117,220,390
239,0308p182,30.87591240875912,18.25,0.0623889442004903,2168,11,23,72,198,377
240,0309m040,30.91794158553547,-4.0,0.062434418152028,6606,24,40,131,286,492
240,0309m042,30.91794158553547,-4.25,0.0624147743119565,7014,19,37,134,272,464
241,0309m117,30.97733711048159,-11.75,0.0624036987428957,4897,13,25,122,266,457
242,0310m175,31.00290697674419,-17.5,0.0623796929338763,5209,17,30,131,280,485
242,0312m172,31.21915820029028,-17.25,0.0623742574875115,4671,11,25,115,241,398
243,0311p077,31.1344537815126,7.75,0.0624494818082903,2301,11,17,78,172,304
244,0312m570,31.29441624365482,-57.0,0.0622049165825133,4593,11,19,88,220,357
245,0313m285,31.37223974763407,-28.5,0.0623765594611283,4845,12,24,89,186,377
246,0313p100,31.30985915492958,10.0,0.0624173432824352,2718,20,36,134,269,466
247,0313p195,31.36764705882353,19.5,0.0623806374255103,2733,14,24,113,241,410
248,0315m280,31.50706436420722,-28.0,0.0623745842382506,4410,10,18,66,152,285
249,0316m102,31.60789844851904,-10.25,0.0624566943109199,4874,18,34,101,226,396
250,0316p015,31.625,1.5,0.0624785332483165,4817,11,26,125,269,477
251,0317m157,31.77233429394813,-15.75,0.0624069903217806,5799,18,34,133,343,573
252,0317m347,31.72006745362563,-34.75,0.0623508986117698,5456,14,25,131,249,457
253,0319p112,31.95190947666195,11.25,0.062426170589416,2771,10,17,122,257,440
254,0320m177,32.09606986899563,-17.75,0.0623839548558273,3992,21,34,97,179,326
255,0320p157,32.03170028818444,15.75,0.0624069903217806,2151,29,54,144,292,460
256,0320p247,32.01526717557252,24.75,0.06239146626538,2494,30,55,148,293,479
257,0326p195,32.69117647058823,19.5,0.0623806374255118,1824,27,42,123,277,432
258,0328m237,32.86363636363637,-23.75,0.0624075513427003,4569,19,42,136,276,455
259,0330p292,33.05246422893482,29.25,0.0624201735651543,2481,12,37,109,238,406
260,0332m715,33.26086956521739,-71.5,0.0620812965708473,3842,11,21,111,230,420
261,0332p090,33.24438202247191,9.0,0.0624240731305082,2950,11,18,104,226,411
262,0332p152,33.23275862068966,15.25,0.0623784412815372,2501,26,44,134,299,505
263,0332p242,33.2370820668693,24.25,0.0623544975888841,2156,10,25,82,188,312
264,0334m090,33.49719101123596,-9.0,0.0624240731305239,5043,13,29,113,275,451
265,0338m232,33.80090497737557,-23.25,0.0623613448843015,4177,12,21,115,235,409
266,0339p250,33.99082568807339,25.0,0.0623605780793131,2744,15,33,114,230,409
267,0340m205,34.0,-20.5,0.0624447630806917,5021,16,32,99,224,401
268,0342p237,34.22727272727273,23.75,0.0624075513426974,2475,10,20,124,260,438
269,0343p290,34.37400950871632,29.0,0.062373780665086,2362,15,26,119,240,399
