region_id,brickname,ra,dec,area_deg2,n_gal,n_lrg_v1_pure_massive,n_lrg_v2_baseline_dr10,n_lrg_v3_color_relaxed,n_lrg_v4_mag_relaxed,n_lrg_v5_very_relaxed
52,0048m735,4.805825242718447,-73.5,0.0620421377334134,11617,17,32,149,361,744
52,0048m737,4.876847290640394,-73.75,0.0620310130159663,11025,14,40,166,425,837
53,0050m742,5.025380710659898,-74.25,0.0620041144884493,9629,15,29,104,231,435
54,0050p242,5.060790273556231,24.25,0.0623544975888859,2184,11,20,117,254,420
55,0051m775,5.126582278481012,-77.5,0.0616441449423792,4274,22,37,121,252,418
56,0051p030,5.125,3.0,0.0624142964104617,3979,9,24,100,222,388
57,0051p082,5.17531556802244,8.25,0.0624604166605319,2534,14,29,123,294,498
58,0052p330,5.206611570247934,33.0,0.0623804059822004,2120,23,39,131,255,446
59,0053m357,5.375426621160409,-35.75,0.0623221846713131,7256,15,24,87,195,372
60,0053m402,5.390199637023594,-40.25,0.06233291087993,7081,19,27,106,251,425
61,0054m200,5.442477876106195,-20.0,0.0623689297799923,1364,30,50,115,223,348
61,0054m202,5.450516986706056,-20.25,0.0623612653258139,2711,22,50,141,312,503
62,0054p270,5.458786936236392,27.0,0.0623565502051458,2299,13,27,138,253,413
62,0057p270,5.738724727838258,27.0,0.0623565502051458,2581,15,28,100,238,398
63,0056m092,5.69620253164557,-9.25,0.0624680749114754,2595,9,24,86,170,326
63,0059m092,5.949367088607595,-9.25,0.0624680749114755,2763,32,49,130,272,446
64,0056m242,5.60790273556231,-24.25,0.0623544975888861,3293,4,20,112,217,390
65,0056p035,5.632823365785813,3.5,0.0624701394968214,5137,10,23,123,252,464
66,0056p172,5.616835994194485,17.25,0.0623742574875119,2895,4,20,119,262,455
67,0057p112,5.728429985855729,11.25,0.0624261705894152,2466,8,23,97,221,368
68,0058m715,5.869565217391305,-71.5,0.0620812965708475,6223,9,25,130,270,442
69,0059m495,5.948827292110874,-49.5,0.062313729192514,5072,5,20,70,173,328
70,0061m045,6.142061281337047,-4.5,0.0624808418254825,4975,14,22,134,270,456
71,0062m100,6.211267605633803,-10.0,0.0624173432824352,2916,10,23,112,230,437
72,0063m277,6.347962382445141,-27.75,0.0624207086114856,5546,10,21,115,253,459
73,0063m845,6.338028169014085,-84.5,0.0607472597460629,4614,10,26,133,318,545
74,0065m757,6.536312849162011,-75.75,0.0618820636831605,5944,9,20,92,232,396
75,0066m065,6.662011173184357,-6.5,0.0624451089910204,4176,17,36,105,232,402
75,0066m067,6.662011173184357,-6.75,0.0624134708283043,3845,18,29,79,182,347
76,0067p102,6.727785613540197,10.25,0.0624566943109199,3309,17,37,148,306,504
77,0067p340,6.772575250836121,34.0,0.0623857210209657,1403,4,21,81,233,429
78,0068p310,6.844660194174757,31.0,0.0624150451990297,2262,13,23,125,232,389
78,0068p312,6.855753646677472,31.25,0.0623517077183071,2012,15,34,111,232,384
79,0069m330,6.991735537190083,-33.0,0.0623804059822004,4957,24,56,127,280,538
80,0069m400,6.998191681735985,-40.0,0.0623362976394176,5882,9,23,103,213,382
81,0069p177,6.943231441048035,17.75,0.0623839548558129,1848,14,29,78,174,310
81,0069p180,6.9533527696793,18.0,0.0623870397712544,1684,16,27,87,188,300
82,0070m115,7.011331444759207,-11.5,0.0624597404068403,2399,17,32,79,168,330
82,0072m115,7.26628895184136,-11.5,0.0624597404068403,2776,7,21,87,220,393
82,0070m117,7.011331444759207,-11.75,0.0624036987428957,1984,33,60,128,234,372
83,0070p207,7.077151335311573,20.75,0.0624347938487022,2349,15,24,105,231,373
84,0073m040,7.385257301808067,-4.0,0.0624344181520264,4447,10,26,110,260,465
85,0075m757,7.541899441340782,-75.75,0.061882063683157,5428,7,20,119,261,455
86,0078p287,7.832278481012659,28.75,0.0624251150474979,1912,16,27,111,251,422
