name,ra,dec,zlens,type,grading,ref
DESI-000.0254+21.6415,0.02542,21.6415,0.502973,galaxy,probable,Huang et al. (2021) - arXiv:2005.04730
DESI-000.0369+21.2841,0.03692,21.2841,0.357,galaxy,probable,Huang et al. (2021) - arXiv:2005.04730
DESI-000.0611-05.9508,0.06112,-5.95079,0.637,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-000.1063-03.9559,0.10629,-3.95586,0.86,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-000.1963+28.2100,0.19625,28.21003,0.415,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-000.2017-46.0549,0.20167,-46.05489,0.339,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-000.2512-10.3396,0.25117,-10.33961,0.687,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-000.2544-00.5579,0.25442,-0.55785,0.5728,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-000.2616-37.3243,0.26158,-37.32427,0.451,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-000.2881-10.5619,0.28808,-10.5619,0.437964,galaxy,probable,Huang et al. (2021) - arXiv:2005.04730
DESI-000.3685-57.8585,0.36854,-57.85849,0.73,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764 | Stein et al. (2021) - arXiv:2110.00023
DESI-000.3785-13.3998,0.37854,-13.39983,0.612,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-000.4022-04.0111,0.40221,-4.0111,0.723671,galaxy,probable,Huang et al. (2021) - arXiv:2005.04730
DESI-000.5014-46.7212,0.49929,-46.7225,0.538,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-000.5290-37.6745,0.52896,-37.67453,0.5,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764 | Rojas et al. (2021) - arXiv:2109.00014
DESI-000.6943+27.0894,0.69429,27.0894,0.584073,galaxy,probable,Huang et al. (2021) - arXiv:2005.04730
DESI-000.7092-55.6288,0.70917,-55.62876,0.422,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-000.7487-62.6672,0.74862,-62.66717,0.452,galaxy,confident,Storfer et al. (2022) - arXiv:2206.02764 | Stein et al. (2021) - arXiv:2110.00023 | Rojas et al. (2021) - arXiv:2109.00014
DESI-000.9144-58.9550,0.91446,-58.95499,0.644,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-000.9962-14.4253,0.99617,-14.42531,0.744,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-001.0157-45.8875,1.01571,-45.88747,0.379,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-001.0940-57.9686,1.09121,-57.9693,0.31,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-001.1051-60.0972,1.10508,-60.0972,0.752,galaxy,probable,Huang et al. (2021) - arXiv:2005.04730
DESI-001.1455-42.5329,1.1455,-42.53289,0.818,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-001.2277-64.3865,1.228,-64.38628,0.513,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764 | Stein et al. (2021) - arXiv:2110.00023 | Storfer et al. (2022) - arXiv:2206.02764
DESI-001.2742-54.2626,1.27421,-54.2626,,galaxy,probable,Huang et al. (2021) - arXiv:2005.04730
DESI-001.4064-11.8886,1.40642,-11.88865,0.214,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-001.4214-35.9756,1.42146,-35.97555,0.094,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-001.4294-50.9162,1.42942,-50.91617,0.416,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-001.4446+15.8147,1.44458,15.8147,0.214104,galaxy,probable,Huang et al. (2021) - arXiv:2005.04730
DESI-001.4858-09.6577,1.48579,-9.65773,0.401,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-001.6700-33.3976,1.67002,-33.39763,0.239,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764 | Moustakas et al. (2012) - adsabs:2012hst..prop12833M | Petrillo et al. (2018) - arXiv:1812.03168
DESI-001.6798+05.0237,1.67979,5.0237,0.432313,galaxy,probable,Huang et al. (2021) - arXiv:2005.04730
DESI-001.7036-11.2181,1.70358,-11.2181,0.28624,galaxy,probable,Huang et al. (2021) - arXiv:2005.04730
DESI-001.8280+01.5349,1.828,1.5349,0.32167,galaxy,probable,Huang et al. (2021) - arXiv:2005.04730
DESI-001.8615-33.7013,1.8615,-33.70133,0.593,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-001.9120-40.9764,1.91204,-40.9764,0.715,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-001.9817-36.6550,1.98175,-36.65504,0.331,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-001.9844-04.9318,1.98471,-4.9329,0.441,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-002.0299+18.3723,2.02992,18.3723,0.472426,galaxy,confident,Huang et al. (2021) - arXiv:2005.04730
DESI-002.0671-32.6207,2.06689,-32.62088,0.26,galaxy,confident,Storfer et al. (2022) - arXiv:2206.02764 | Moustakas et al. (2012) - adsabs:2012hst..prop12833M
DESI-002.0769-06.3760,2.07692,-6.376,0.58902,galaxy,probable,Huang et al. (2021) - arXiv:2005.04730
DESI-002.1296-35.6231,2.12958,-35.62312,0.731,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-002.2189-33.5805,2.21892,-33.58051,0.532,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-002.2532-56.2286,2.25325,-56.22864,0.594,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-002.2644-08.3040,2.26437,-8.30403,0.5108,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-002.2652-52.4195,2.26521,-52.4195,0.275,galaxy,probable,Huang et al. (2021) - arXiv:2005.04730
DESI-002.2664+11.0539,2.26642,11.05392,0.657,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-002.3413-06.4985,2.34129,-6.4985,0.558,galaxy,probable,Huang et al. (2021) - arXiv:2005.04730
DESI-002.3430+02.1830,2.34296,2.18297,0.26888147,galaxy,probable,Stein et al. (2021) - arXiv:2110.00023 | Storfer et al. (2022) - arXiv:2206.02764
DESI-002.3839+04.5635,2.38383,4.56349,0.749,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-002.4643-34.6088,2.46429,-34.6088,,galaxy,probable,Huang et al. (2021) - arXiv:2005.04730
DESI-002.4664-14.2308,2.46558,-14.229,0.748,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-002.5204-35.7296,2.52042,-35.7296,,galaxy,probable,Huang et al. (2021) - arXiv:2005.04730
DESI-002.5423-49.4373,2.54229,-49.43734,0.751,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-002.5452-60.5666,2.54521,-60.5666,,galaxy,probable,Huang et al. (2021) - arXiv:2005.04730
DESI-002.7167+18.5282,2.71671,18.5282,0.604,galaxy,probable,Huang et al. (2021) - arXiv:2005.04730
DESI-002.8277-59.0082,2.82771,-59.00824,0.681,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-002.8303-31.0754,2.83033,-31.07537,0.661,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-003.0210-30.6847,3.02096,-30.68474,0.201,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-003.0228-44.3054,3.02277,-44.30537,,galaxy,probable,Huang et al. (2021) - arXiv:2005.04730 | Moustakas et al. (2012) - adsabs:2012hst..prop12833M
DESI-003.2647-32.9648,3.26471,-32.9648,0.482,galaxy,probable,Huang et al. (2021) - arXiv:2005.04730
DESI-003.2714-38.5510,3.27142,-38.55101,0.55,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-003.2777-02.1650,3.27775,-2.16497,0.4851,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-003.3086-56.1443,3.30858,-56.14428,0.959,galaxy,confident,Storfer et al. (2022) - arXiv:2206.02764 | Stein et al. (2021) - arXiv:2110.00023
DESI-003.3575+10.9963,3.35746,10.99634,0.637,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-003.3627-30.5840,3.36288,-30.58358,0.74999624,galaxy,probable,Stein et al. (2021) - arXiv:2110.00023 | Storfer et al. (2022) - arXiv:2206.02764 | Rojas et al. (2021) - arXiv:2109.00014
DESI-003.3768-41.7288,3.37723,-41.72913,0.396,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764 | Moustakas et al. (2012) - adsabs:2012hst..prop12833M
DESI-003.5018-05.2358,3.50179,-5.23579,0.767,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-003.5138-63.0566,3.51375,-63.05657,0.553,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-003.5782-30.3594,3.57817,-30.35939,0.615,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-003.6390-63.2677,3.639,-63.26774,0.302,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-003.6513+24.6913,3.65133,24.69129,0.2856,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-003.6745-13.5042,3.6745,-13.5042,0.406,galaxy,confident,Huang et al. (2021) - arXiv:2005.04730
DESI-003.7407+01.6170,3.74067,1.61699,0.336,galaxy,confident,Storfer et al. (2022) - arXiv:2206.02764 | Stein et al. (2021) - arXiv:2110.00023
DESI-003.7573-53.1397,3.75729,-53.13967,0.46,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-003.8474-31.6313,3.84746,-31.63132,0.658,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-003.8795+24.4528,3.8795,24.4528,0.596967,galaxy,probable,Huang et al. (2021) - arXiv:2005.04730
DESI-003.9009-29.8221,3.90092,-29.8221,0.873,galaxy,probable,Huang et al. (2021) - arXiv:2005.04730
DESI-003.9283-27.1948,3.92833,-27.19479,0.431,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-003.9341-50.8674,3.93404,-50.8674,0.759,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764 | Stein et al. (2021) - arXiv:2110.00023
DESI-003.9668-33.0306,3.96679,-33.03059,0.945,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-003.9728-03.4132,3.97279,-3.41319,0.926,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-004.0093-13.4169,4.00929,-13.4169,0.424553,galaxy,probable,Huang et al. (2021) - arXiv:2005.04730
DESI-004.0282-28.4998,4.02817,-28.4998,0.914,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-004.0688-40.6404,4.06875,-40.64036,0.663,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-004.0732-12.0252,4.07312,-12.02585,0.6,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764 | Storfer et al. (2022) - arXiv:2206.02764
DESI-004.0930-09.1126,4.093,-9.1126,0.445,galaxy,probable,Huang et al. (2021) - arXiv:2005.04730
DESI-004.1005-27.8400,4.10046,-27.83995,0.693,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-004.1068+08.7112,4.10683,8.71119,0.1628,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-004.1653+03.4336,4.16529,3.43362,0.498,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-004.2156-05.8182,4.21558,-5.8182,0.329278,galaxy,probable,Huang et al. (2021) - arXiv:2005.04730
DESI-004.2564-10.1530,4.25642,-10.15304,0.5,galaxy,probable,Moustakas et al. (2012) - adsabs:2012hst..prop12833M | Stark et al. (2013) - arXiv:1302.2663 | Huang et al. (2021) - arXiv:2005.04730
DESI-004.3716-48.0719,4.37158,-48.07194,0.688,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-004.4009-11.8208,4.40087,-11.8208,0.4756001,galaxy,confident,Stein et al. (2021) - arXiv:2110.00023 | Storfer et al. (2022) - arXiv:2206.02764
DESI-004.5948-47.9520,4.59479,-47.952,0.737,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-004.6144-37.6091,4.61208,-37.6106,0.666,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-004.7031+27.9580,4.70312,27.958,0.603,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-004.7088-30.6334,4.70877,-30.63336,0.659,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764 | Moustakas et al. (2012) - adsabs:2012hst..prop12833M
DESI-004.7352-31.8716,4.73521,-31.8716,0.288,galaxy,probable,Huang et al. (2021) - arXiv:2005.04730
DESI-004.8151-51.7830,4.81512,-51.78298,0.935,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-004.8654+32.0834,4.86542,32.0834,0.556577,galaxy,probable,Huang et al. (2021) - arXiv:2005.04730
DESI-004.8732-31.1123,4.87321,-31.1123,0.323,galaxy,probable,Huang et al. (2021) - arXiv:2005.04730
DESI-005.2433-50.5964,5.24325,-50.59639,0.249,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-005.2593-26.5437,5.25929,-26.5437,0.454751,galaxy,probable,Huang et al. (2021) - arXiv:2005.04730
DESI-005.2635+26.1240,5.26354,26.12404,0.429,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-005.2712-28.6385,5.27125,-28.63849,0.343,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-005.2856-39.3724,5.28558,-39.3724,0.342,galaxy,probable,Huang et al. (2021) - arXiv:2005.04730
DESI-005.3051-35.1815,5.30504,-35.18153,0.803,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-005.3972-29.3490,5.39677,-29.34926,0.601,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764 | Stein et al. (2021) - arXiv:2110.00023
DESI-005.4479-39.4438,5.44787,-39.44381,0.229,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-005.4488-04.9731,5.44881,-4.97307,0.5481,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764 | Moustakas et al. (2012) - adsabs:2012hst..prop12833M
DESI-005.5322-10.1832,5.5316,-10.18314,0.605,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764 | Stein et al. (2021) - arXiv:2110.00023
DESI-005.5408-46.3596,5.54083,-46.35956,0.342,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-005.5523-04.4710,5.55229,-4.471,0.601344,galaxy,probable,Huang et al. (2021) - arXiv:2005.04730
DESI-005.5714-00.6091,5.57137,-0.60909,0.8016,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-005.6187+01.8037,5.61867,1.80369,0.742,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764 | Huang et al. (2020) - arXiv:1906.00970 | Moustakas et al. (2012) - adsabs:2012hst..prop12833M
DESI-005.6822-01.1833,5.68221,-1.18328,0.8074,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-005.7394+06.9065,5.73942,6.90646,0.867,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-005.7434+00.1667,5.74342,0.1667,0.526,galaxy,probable,Huang et al. (2020) - arXiv:1906.00970
DESI-005.7931+05.0083,5.79312,5.00833,0.571,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-005.8352-02.8743,5.83521,-2.87426,0.797,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-005.8654-55.4585,5.86542,-55.45851,0.303,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-005.8736+23.3586,5.87362,23.35857,0.337,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-005.8931-29.8267,5.89308,-29.82671,0.424,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-005.9327+03.4772,5.93271,3.4772,0.338082,galaxy,probable,Huang et al. (2021) - arXiv:2005.04730
DESI-006.0363-58.8954,6.03629,-58.89538,0.563,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-006.0516-26.5668,6.05158,-26.56684,0.518,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-006.0673-28.7195,6.06727,-28.71971,0.533,galaxy,confident,Huang et al. (2021) - arXiv:2005.04730 | Rojas et al. (2021) - arXiv:2109.00014
DESI-006.0703+01.4212,6.07029,1.4212,0.495144,galaxy,probable,Huang et al. (2021) - arXiv:2005.04730
DESI-006.0848-64.9549,6.08479,-64.9549,,galaxy,probable,Huang et al. (2021) - arXiv:2005.04730
DESI-006.1955-57.9429,6.1955,-57.9429,,galaxy,probable,Huang et al. (2021) - arXiv:2005.04730
DESI-006.2199-01.8426,6.21992,-1.8426,0.690719,galaxy,probable,Huang et al. (2021) - arXiv:2005.04730
DESI-006.2365-51.4494,6.23654,-51.4494,0.729,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-006.2704+16.4813,6.26879,16.4821,0.329,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-006.2945-49.7741,6.29449,-49.77404,0.6879822,galaxy,probable,Stein et al. (2021) - arXiv:2110.00023 | Storfer et al. (2022) - arXiv:2206.02764 | O'Donnell et al. (2021) - arXiv:2110.02418 | Rojas et al. (2021) - arXiv:2109.00014
DESI-006.3461-59.2267,6.34606,-59.22666,0.611,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764 | Moustakas et al. (2012) - adsabs:2012hst..prop12833M
DESI-006.3643+10.1853,6.36423,10.1853,0.457922,galaxy,probable,Huang et al. (2021) - arXiv:2005.04730 | Tran et al. (2022) - arXiv:2205.05307
DESI-006.3648-01.7436,6.36475,-1.74362,0.362,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764 | Stein et al. (2021) - arXiv:2110.00023
DESI-006.4166-27.4448,6.41658,-27.4448,0.821,galaxy,probable,Huang et al. (2021) - arXiv:2005.04730
DESI-006.4448+03.6455,6.44479,3.6455,0.409176,galaxy,probable,Huang et al. (2021) - arXiv:2005.04730
DESI-006.4734-37.3549,6.47338,-37.35491,0.642,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-006.5262-26.7186,6.52625,-26.71862,0.701,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-006.5376-05.1005,6.53758,-5.1005,0.36939,galaxy,probable,Huang et al. (2021) - arXiv:2005.04730
DESI-006.5454-60.8859,6.54542,-60.8859,,galaxy,probable,Huang et al. (2021) - arXiv:2005.04730
DESI-006.5972-05.4332,6.59858,-5.4348,0.69,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-006.6511+05.3138,6.65104,5.31376,0.913,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-006.7336-59.0876,6.73362,-59.0876,0.322,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-006.7513-26.2673,6.75133,-26.2673,0.465,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-006.7755-44.7067,6.7755,-44.70668,0.344,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-006.8196-38.1572,6.81962,-38.15721,0.579,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-006.8565-03.2642,6.8565,-3.26417,0.864,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-006.9048-06.0151,6.90479,-6.01506,0.147,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-006.9518-03.8141,6.95179,-3.8141,0.588341,galaxy,probable,Huang et al. (2021) - arXiv:2005.04730
DESI-006.9778-47.1915,6.97783,-47.19154,0.86368567,galaxy,probable,Stein et al. (2021) - arXiv:2110.00023 | Storfer et al. (2022) - arXiv:2206.02764
DESI-007.0497-48.4352,7.04975,-48.4352,0.38,galaxy,confident,O'Donnell et al. (2021) - arXiv:2110.02418 | Stein et al. (2021) - arXiv:2110.00023 | Storfer et al. (2022) - arXiv:2206.02764
DESI-007.0770-27.5692,7.077,-27.5692,0.881,galaxy,probable,Huang et al. (2021) - arXiv:2005.04730
DESI-007.0848-52.1662,7.08479,-52.1662,,galaxy,probable,Huang et al. (2021) - arXiv:2005.04730
DESI-007.0907-01.4581,7.09067,-1.45805,0.918,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-007.2255-35.4707,7.2255,-35.47069,0.671,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-007.3084-54.5052,7.30838,-54.50515,0.93,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-007.3282-25.6413,7.32821,-25.6413,,galaxy,probable,Huang et al. (2021) - arXiv:2005.04730
DESI-007.3486-57.4832,7.34858,-57.48317,0.911,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-007.4408-02.3542,7.44073,-2.3542,0.643472,galaxy,probable,Huang et al. (2021) - arXiv:2005.04730 | Rojas et al. (2021) - arXiv:2109.00014
DESI-007.5023-23.1251,7.50225,-23.12511,0.79,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-007.5607-41.9319,7.56329,-41.9289,0.542,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-007.6017-04.4479,7.60172,-4.44785,0.63,galaxy,probable,Jacobs et al. (2018) - arXiv:1811.03786 | Moustakas et al. (2012) - adsabs:2012hst..prop12833M | Storfer et al. (2022) - arXiv:2206.02764
DESI-007.6167-07.3598,7.61671,-7.3598,0.685133,galaxy,probable,Huang et al. (2021) - arXiv:2005.04730
DESI-007.6409-05.2397,7.64087,-5.23968,0.396,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-007.6741-33.9765,7.67408,-33.9765,0.858,galaxy,confident,Huang et al. (2021) - arXiv:2005.04730
DESI-007.7075-31.8051,7.7075,-31.8051,0.221,galaxy,probable,Huang et al. (2021) - arXiv:2005.04730
DESI-007.7111-34.1051,7.71112,-34.10505,0.436,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-007.7552-24.4012,7.75516,-24.40116,0.623,galaxy,probable,Huang et al. (2021) - arXiv:2005.04730 | Moustakas et al. (2012) - adsabs:2012hst..prop12833M
DESI-007.7918-44.0618,7.79183,-44.06181,0.537,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-007.7953+18.1099,7.79525,18.10995,0.5657,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-007.8631-01.7215,7.86308,-1.7215,0.520127,galaxy,confident,Huang et al. (2021) - arXiv:2005.04730
DESI-007.8701-63.4805,7.87004,-63.48052,0.655,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-007.8906-44.2195,7.89058,-44.21954,0.848,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-008.0136+07.6678,8.01358,7.6678,0.556577,galaxy,confident,Huang et al. (2021) - arXiv:2005.04730
DESI-008.0382-11.7536,8.03821,-11.7536,0.542,galaxy,probable,Huang et al. (2021) - arXiv:2005.04730
DESI-008.0418-09.0313,8.04179,-9.03134,0.379,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-008.0561+11.4205,8.05608,11.4205,0.383492,galaxy,probable,Huang et al. (2021) - arXiv:2005.04730
DESI-008.1566-53.0908,8.15654,-53.0908,0.652,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-008.2517-01.0951,8.25175,-1.09506,0.617,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-008.2647+01.8474,8.26471,1.84742,0.655,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-008.2725-50.8575,8.2725,-50.8575,0.455,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-008.4195-46.5522,8.41942,-46.55223,0.467,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764 | Moustakas et al. (2012) - adsabs:2012hst..prop12833M
DESI-008.5547+11.6488,8.55471,11.64885,0.421,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-008.5708-41.7547,8.57083,-41.75473,0.806,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-008.5780-52.4250,8.578,-52.42499,0.716,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-008.5950-39.5787,8.59504,-39.57871,0.309,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-008.6011+05.8841,8.60112,5.88414,0.386,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-008.6036-25.6966,8.60367,-25.69656,0.57,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-008.6172-45.8558,8.61717,-45.85578,0.522,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-008.6210-45.8601,8.62096,-45.86009,0.5245283,galaxy,confident,Stein et al. (2021) - arXiv:2110.00023 | Storfer et al. (2022) - arXiv:2206.02764
DESI-008.6415-25.7790,8.6415,-25.77902,0.507,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-008.6662-13.6007,8.66621,-13.6007,0.714,galaxy,probable,Huang et al. (2021) - arXiv:2005.04730
DESI-008.6742-43.2386,8.67421,-43.23857,0.663,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-008.7713+01.1618,8.77129,1.16178,0.326,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-008.7996-12.5759,8.79954,-12.57594,0.751,galaxy,confident,Storfer et al. (2022) - arXiv:2206.02764 | Stein et al. (2021) - arXiv:2110.00023
DESI-008.8215-25.5456,8.8215,-25.54559,0.74954844,galaxy,probable,Stein et al. (2021) - arXiv:2110.00023 | Storfer et al. (2022) - arXiv:2206.02764
DESI-008.8303-25.9844,8.83033,-25.98438,0.709,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-008.8590-20.2624,8.859,-20.2624,0.30169,galaxy,probable,Huang et al. (2021) - arXiv:2005.04730
DESI-008.8610-50.3323,8.861,-50.33226,0.5129388,galaxy,confident,Stein et al. (2021) - arXiv:2110.00023 | Storfer et al. (2022) - arXiv:2206.02764
DESI-008.8652-21.4902,8.86517,-21.49016,0.33,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-008.8876+04.4232,8.88762,4.42319,0.914,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-008.9403-62.9699,8.94029,-62.9699,0.664,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-008.9543-29.6876,8.95433,-29.68759,0.401,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-008.9593-22.4280,8.95925,-22.42801,0.791,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-008.9609-65.1143,8.96092,-65.11434,0.467,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-008.9813-23.1172,8.981,-23.1183,0.343,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-008.9856-31.0498,8.98558,-31.0498,0.416,galaxy,probable,Huang et al. (2021) - arXiv:2005.04730
DESI-009.0024-41.5980,9.00242,-41.598,0.401,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-009.0285-01.7264,9.0285,-1.72636,0.3374,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-009.0861-46.3227,9.08608,-46.3227,0.449,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
