name,ra,dec,zlens,type,grading,ref
DESI-034.0760+02.9333,34.076,2.9333,0.974,galaxy,probable,Huang et al. (2021) - arXiv:2005.04730
DESI-034.1261-21.7338,34.12608,-21.7338,0.607,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-034.1856-00.3860,34.18558,-0.386,0.458338,galaxy,probable,Huang et al. (2021) - arXiv:2005.04730
DESI-034.1939-14.5913,34.19392,-14.59134,0.616,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-034.2213+28.2284,34.22129,28.22836,0.677,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-034.2248-36.8005,34.22481,-36.80044,0.527,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764 | Moustakas et al. (2012) - adsabs:2012hst..prop12833M | Rojas et al. (2021) - arXiv:2109.00014
DESI-034.2330-43.4308,34.23296,-43.43085,0.624,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-034.2366-59.8485,34.23658,-59.8485,0.498,galaxy,confident,Huang et al. (2021) - arXiv:2005.04730
DESI-034.2553-15.6902,34.25525,-15.69018,0.702,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-034.2661-18.2729,34.26608,-18.27287,0.639,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-034.2803-38.3188,34.28025,-38.31877,0.748,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-034.2874-09.2052,34.28742,-9.2052,0.187209,galaxy,probable,Huang et al. (2021) - arXiv:2005.04730
DESI-034.3096-10.0969,34.30958,-10.0969,0.608489,galaxy,probable,Huang et al. (2021) - arXiv:2005.04730
DESI-034.3281-05.1331,34.32808,-5.1331,0.678,galaxy,probable,Huang et al. (2020) - arXiv:1906.00970
DESI-034.3412-40.7556,34.34125,-40.75563,0.388,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-034.3625-35.3563,34.36246,-35.35627,0.24,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-034.3830+20.9523,34.383,20.9523,0.588608,galaxy,probable,Huang et al. (2021) - arXiv:2005.04730
DESI-034.3988-36.0312,34.39879,-36.03119,0.778,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-034.4122-19.4209,34.41217,-19.42091,0.281,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-034.4256-38.4274,34.42558,-38.42744,0.827,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764 | Moustakas et al. (2012) - adsabs:2012hst..prop12833M
DESI-034.4369-21.9762,34.43687,-21.97616,0.754,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-034.5247+26.6007,34.52471,26.6007,,galaxy,probable,Huang et al. (2021) - arXiv:2005.04730
DESI-034.5314-27.6291,34.53142,-27.6291,,galaxy,probable,Huang et al. (2021) - arXiv:2005.04730
DESI-034.5808-31.7028,34.58234,-31.70492,0.28,galaxy,probable,O'Donnell et al. (2021) - arXiv:2110.02418 | Storfer et al. (2022) - arXiv:2206.02764
DESI-034.6148-49.1320,34.61479,-49.13199,0.302,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-034.6326-45.7615,34.63262,-45.76147,0.488,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-034.6345-34.9600,34.63446,-34.96,0.701,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-034.6677-24.8466,34.66766,-24.84656,,galaxy,probable,Huang et al. (2021) - arXiv:2005.04730 | Moustakas et al. (2012) - adsabs:2012hst..prop12833M
DESI-034.7060-34.5885,34.70604,-34.58848,0.541,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-034.7077-14.7784,34.70771,-14.7784,0.576,galaxy,probable,Huang et al. (2021) - arXiv:2005.04730
DESI-034.7204+01.8792,34.72042,1.8792,0.7445,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-034.7239-16.8684,34.72392,-16.8684,,galaxy,probable,Huang et al. (2021) - arXiv:2005.04730
DESI-034.7253-37.5121,34.72533,-37.5121,0.672,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-034.7605+00.0817,34.76054,0.08169,0.3489,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-034.7890-18.5640,34.78904,-18.56403,0.13,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-034.8037-21.4234,34.80371,-21.42343,0.272,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-034.8217-48.5402,34.82171,-48.54024,0.461,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-034.8222+15.7291,34.82221,15.72907,0.443,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-034.8554+05.6438,34.85542,5.6438,0.67845,galaxy,probable,Huang et al. (2021) - arXiv:2005.04730
DESI-034.8936-08.0984,34.89362,-8.09838,0.6001,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764 | Stein et al. (2021) - arXiv:2110.00023
DESI-034.9126-17.6882,34.91258,-17.6882,0.538,galaxy,probable,Huang et al. (2021) - arXiv:2005.04730
DESI-034.9128+26.4655,34.91279,26.46551,0.488,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-034.9496+14.8571,34.94962,14.85713,0.461,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-034.9884-55.4334,34.98842,-55.4334,0.232,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-034.9916-14.9460,34.99158,-14.946,0.782,galaxy,probable,Huang et al. (2020) - arXiv:1906.00970
DESI-035.0142+02.7345,35.01421,2.7345,0.454886,galaxy,probable,Huang et al. (2021) - arXiv:2005.04730
DESI-035.0412-28.1798,35.04121,-28.1798,0.305,galaxy,probable,Huang et al. (2021) - arXiv:2005.04730
DESI-035.0558+24.2438,35.05575,24.24377,0.417,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-035.0626-18.4518,35.06262,-18.45176,0.633,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-035.0701-12.9660,35.07013,-12.96604,0.763,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-035.0816-04.1971,35.08158,-4.1971,0.285,galaxy,probable,Huang et al. (2020) - arXiv:1906.00970
DESI-035.1288+00.7393,35.12883,0.73934,0.8826,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-035.1416-20.5803,35.14158,-20.58034,0.761,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-035.1902-01.4189,35.19025,-1.41886,0.6156334,galaxy,probable,Stein et al. (2021) - arXiv:2110.00023 | Storfer et al. (2022) - arXiv:2206.02764
DESI-035.1949+05.8853,35.19492,5.8853,0.635777,galaxy,probable,Huang et al. (2021) - arXiv:2005.04730
DESI-035.2160-23.5439,35.21604,-23.54386,0.376,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-035.2949-23.0878,35.29492,-23.0878,,galaxy,probable,Huang et al. (2021) - arXiv:2005.04730
DESI-035.3267-27.6422,35.32671,-27.64219,0.711,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-035.4007-26.6592,35.40071,-26.6592,0.525,galaxy,probable,Huang et al. (2021) - arXiv:2005.04730
DESI-035.4188-46.8757,35.41906,-46.87544,0.24826242,galaxy,probable,Stein et al. (2021) - arXiv:2110.00023 | Storfer et al. (2022) - arXiv:2206.02764
DESI-035.4249-24.2483,35.42492,-24.24832,0.493,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-035.4391-16.1155,35.43908,-16.11549,0.837,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
