variant,n_bricks,n_nonzero,median_density,p90_density,p95_density,p99_density,mean_frac,median_frac,description
v1_pure_massive,322385,249847,32.04355606283657,64.16789877428377,80.30579785656593,160.1391971763835,0.0006436250498040729,0.0004341219882787063,n_lrg_v1_pure_massive
v2_baseline_dr10,322385,317620,81.43342532141946,160.67861348427516,195.03469133987946,320.56937036796876,0.0021396956174465154,0.0017452006980802793,n_lrg_v2_baseline_dr10
v3_color_relaxed,322385,322014,1201.4685876239555,1635.095994159996,1783.0673076888793,2099.123821298627,0.026158186215527793,0.025041736227045076,n_lrg_v3_color_relaxed
v4_mag_relaxed,322385,322203,2801.3087772527233,3617.590860572991,3881.419446722735,4441.877081299478,0.06030328539342791,0.05927051671732523,n_lrg_v4_mag_relaxed
v5_very_relaxed,322385,322276,4967.588287065807,6221.920032510661,6627.1662483012005,7476.385678565758,0.10631546223729824,0.10585065434949961,n_lrg_v5_very_relaxed
