region_id,n_bricks,total_area_deg2,total_n_gal,ra_center_deg,dec_center_deg,median_psf_r_arcsec,median_psfdepth_r,median_ebv,keep_in_area_window,total_n_lrg_v1_pure_massive,mean_lrg_density_v1_pure_massive,total_n_lrg_v2_baseline_dr10,mean_lrg_density_v2_baseline_dr10,total_n_lrg_v3_color_relaxed,mean_lrg_density_v3_color_relaxed,total_n_lrg_v4_mag_relaxed,mean_lrg_density_v4_mag_relaxed,total_n_lrg_v5_very_relaxed,mean_lrg_density_v5_very_relaxed,phase3_score_area_weighted_v3,phase3_ranking_mode,phase3_score,phase3_region_rank
413,16,0.99810737489151,50887,35.805024999694744,19.281193248888187,1.3932351,24.532007,0.259778755,False,119,119.22564945773972,301,301.57076039310635,2421,2425.590733925949,4730,4738.969091891671,7564,7578.342962170952,2423.294279866711,area_weighted_v3,2423.294279866711,1
2303,9,0.5619288045288474,43079,322.16143139021756,12.444516315634909,1.3831521,25.281116,0.1244918,False,51,90.75882850099,130,231.3460334338961,1309,2329.476598192077,2487,4425.827578077689,3974,7072.070283586947,1746.2201656817015,area_weighted_v3,1746.2201656817015,2
396,7,0.4369652867195935,36721,34.91075149042256,-14.964214881077288,1.2208626,25.114594,0.02696111,False,26,59.50129401625568,75,171.6383481238145,1059,2423.5334755082604,2270,5194.920669880785,3812,8723.80510730641,1602.0368131111245,area_weighted_v3,1602.0368131111245,3
1034,5,0.3122256504268775,17629,126.42075803851183,4.3000657660681085,1.4454212,24.304043,0.026070425,False,16,51.24498893068096,67,214.5883911472265,836,2677.55067162808,1600,5124.498893068096,2462,7885.322671708533,1496.1391517773588,area_weighted_v3,1496.1391517773588,4
884,6,0.3744522836300518,29142,86.04799521909543,-21.29164182062247,1.32535005,25.1155615,0.0403456115,False,14,37.387941299969754,52,138.8694962570305,910,2430.2161844980337,1943,5188.912138988659,3162,8444.333599321739,1487.1101935946813,area_weighted_v3,1487.1101935946813,5
