region_id,n_bricks,total_area_deg2,total_n_gal,ra_center_deg,dec_center_deg,median_psf_r_arcsec,median_psfdepth_r,median_ebv,keep_in_area_window,total_n_lrg_v1_pure_massive,mean_lrg_density_v1_pure_massive,total_n_lrg_v2_baseline_dr10,mean_lrg_density_v2_baseline_dr10,total_n_lrg_v3_color_relaxed,mean_lrg_density_v3_color_relaxed,total_n_lrg_v4_mag_relaxed,mean_lrg_density_v4_mag_relaxed,total_n_lrg_v5_very_relaxed,mean_lrg_density_v5_very_relaxed,phase3_score_density_v3,phase3_ranking_mode,phase3_score,phase3_region_rank
1635,1,0.0624338284246973,3595,203.2867132867133,-7.25,1.472363,24.203749,0.035188287,False,127,2034.1536504233,190,3043.2219966962753,274,4388.646458393576,464,7431.8684550898515,688,11019.667019615988,4388.646458393576,density_v3,4388.646458393576,1
25,2,0.1247128563855411,11573,3.8235294117647056,-32.0,1.0371644999999998,25.18686,0.014434579,False,234,1876.31016385837,334,2678.152114225195,504,4041.283429848798,841,6743.490802584997,1387,11121.54785158786,4041.283429848798,density_v3,4041.283429848798,2
1283,1,0.0588779040669423,5175,159.75,-87.0,1.2986993,25.241602,0.3000328,False,31,526.5133073479312,57,968.1051135107122,229,3889.404754279879,373,6335.143988412205,576,9782.956936529305,3889.404754279879,density_v3,3889.404754279879,3
2179,1,0.0617726473422354,4517,297.1942446043166,-79.0,1.5361282,24.901577,0.48532504,False,23,372.33307927656784,43,696.1009742996703,240,3885.21474027723,378,6119.2132159366365,528,8547.472428609904,3885.21474027723,density_v3,3885.21474027723,4
1638,1,0.060338543267931,5874,203.5384615384615,-85.0,1.3215595,25.275742,0.29700086,False,9,149.1583905172494,28,464.0483260536647,232,3844.9718444446503,391,6480.1034102493895,570,9446.69806609246,3844.9718444446503,density_v3,3844.9718444446503,5
