region_id,brickname,ra,dec,area_deg2,n_gal,n_lrg_v1_pure_massive,n_lrg_v2_baseline_dr10,n_lrg_v3_color_relaxed,n_lrg_v4_mag_relaxed,n_lrg_v5_very_relaxed,phase3_ranking_mode,phase3_region_rank
25,0036m320,3.676470588235294,-32.0,0.0623564281927706,5453,83,116,207,357,602,density_v3,2
25,0039m320,3.970588235294118,-32.0,0.0623564281927705,6120,151,218,297,484,785,density_v3,2
1283,1597m870,159.75,-87.0,0.0588779040669423,5175,31,57,229,373,576,density_v3,3
1635,2032m072,203.2867132867133,-7.25,0.0624338284246973,3595,127,190,274,464,688,density_v3,1
1638,2035m850,203.5384615384615,-85.0,0.060338543267931,5874,9,28,232,391,570,density_v3,5
2179,2971m790,297.1942446043166,-79.0,0.0617726473422354,4517,23,43,240,378,528,density_v3,4
