RA,DEC,BRICKNAME,FLUX_G,FLUX_R,FLUX_Z,FLUX_W1,TYPE,g_mag,r_mag,z_mag,w1_mag,r_minus_z,z_minus_w1,is_lrg_v1,is_lrg_v2,is_lrg_v3,is_lrg_v4,is_lrg_v5,phase3_ranking_mode,region_id,phase3_region_rank
34.655200257399834,-14.973790067049904,0347m150,0.581309,2.9234664,16.919287,79.38911,SER,23.088982344461165,21.33525471673755,19.429044874026218,17.750597711271933,1.9062098427113305,1.678447162754285,True,True,True,True,True,total_lrg_v3,396,3
34.65791922297116,-14.923678536767744,0347m150,0.46273908,1.8310019,9.340212,33.869167,SER,23.3366595525554,21.843278025767976,20.07410818089587,18.675488700841317,1.7691698448721063,1.3986194800545526,False,False,True,True,True,total_lrg_v3,396,3
34.65895154953713,-14.913932167112034,0347m150,1.3646759,5.347026,11.326164,26.45646,REX,22.162426211244632,20.67971928646432,19.864792861929356,18.943670628213695,0.8149264245349634,0.9211222337156606,False,False,True,True,True,total_lrg_v3,396,3
34.66184619552257,-14.966891431488197,0347m150,0.35707122,1.8798926,8.477144,29.156319,SER,23.61811287885115,21.814667411306836,20.17937606779918,18.838168279468853,1.6352913435076566,1.3412077883303262,False,False,True,True,True,total_lrg_v3,396,3
34.6637583193969,-14.983867803153382,0347m150,0.569897,2.3072295,8.167235,30.88093,SER,23.110509080564302,21.592273001311604,20.219812320361388,18.775774074538475,1.3724606809502156,1.444038245822913,False,False,True,True,True,total_lrg_v3,396,3
34.66400006542822,-14.90476655847939,0347m150,2.3099911,6.8987527,14.854661,34.189007,SER,21.59097422340952,20.403073559060797,19.570343137971953,18.66528378831202,0.8327304210888435,0.9050593496599326,False,False,True,True,True,total_lrg_v3,396,3
34.66421162478733,-14.989451911041852,0347m150,6.004092,13.045539,25.300667,69.45319,SER,20.553881615186704,19.711344939463533,18.992170081676203,17.895769448285964,0.7191748577873298,1.096400633390239,False,False,True,True,True,total_lrg_v3,396,3
34.66469834506756,-14.92149224575916,0347m150,0.29047558,2.0223584,11.27138,27.132753,SER,23.842225941915938,21.735354682504337,19.870057229842633,18.916265331880986,1.8652974526617037,0.9537918979616471,False,False,True,True,True,total_lrg_v3,396,3
34.66484829465752,-14.95888908045282,0347m150,1.0868796,4.1745124,12.582264,50.795723,DEV,22.409546395458765,20.948485615000163,19.75060302142694,18.235432135257263,1.1978825935732225,1.5151708861696775,False,False,True,True,True,total_lrg_v3,396,3
34.665929394785124,-14.947501026545254,0347m150,1.1916187,3.2478485,9.756717,31.38652,EXP,22.309656742470036,21.221010589343052,20.026740759806806,18.75814207241247,1.1942698295362462,1.2685986873943378,False,False,True,True,True,total_lrg_v3,396,3
34.66657256302776,-14.975238448215153,0347m150,1.5835243,4.4005632,15.085513,33.59865,DEV,22.000938137637526,20.891229333562197,19.553599783130434,18.684195369786018,1.337629550431764,0.8694044133444159,False,False,True,True,True,total_lrg_v3,396,3
34.66675417179951,-14.921058852517397,0347m150,0.8564371,4.8007884,28.161291,117.54729,DEV,22.668261335822745,20.796718588454958,18.875868594483947,17.324468475046878,1.9208499939710109,1.5514001194370692,False,False,True,True,True,total_lrg_v3,396,3
34.67052538230394,-14.998105531908172,0347m150,0.65455323,3.5800736,9.867364,23.8919,DEV,22.960137566660297,21.11527011384123,20.014497134453443,19.054373319667835,1.1007729793877878,0.9601238147856073,False,False,True,True,True,total_lrg_v3,396,3
34.67283299711893,-14.942288499901137,0347m150,1.1533216,3.776008,10.601658,36.2599,SER,22.345123913106043,21.057417767076043,19.936565538164015,18.601433520682708,1.1208522289120282,1.3351320174813068,False,False,True,True,True,total_lrg_v3,396,3
