brickname,ra,dec,ra1,ra2,dec1,dec2,psfsize_g,psfsize_r,psfsize_z,psfdepth_g,psfdepth_r,psfdepth_z,ebv,area_deg2,lrg_count,lrg_density
2326p000,232.625,0.0,232.5,232.75,-0.125,0.125,1.2939757108688354,1.4810460805892944,1.105355143547058,24.97499656677246,24.546777725219727,23.398208618164062,0.07259906828403473,0.062499950420362466,11,176.00013961637006
2328p002,232.875,0.25,232.75,233.0,0.125,0.375,1.3009167909622192,1.467341423034668,1.0999809503555298,25.02945899963379,24.588537216186523,23.477500915527344,0.0650828406214714,0.06249935546586763,11,176.0018150268343
2331p000,233.125,0.0,233.0,233.25,-0.125,0.125,1.3904194831848145,1.4790325164794922,1.0967464447021484,25.048946380615234,24.634340286254883,23.561119079589844,0.07869978994131088,0.06249995042034974,15,240.00019038600803
2333p002,233.375,0.25,233.25,233.5,0.125,0.375,1.5155433416366577,1.4370867013931274,1.2088371515274048,24.973230361938477,24.526351928710938,23.566972732543945,0.07292614877223969,0.06249935546586763,8,128.00132001951584
2336p005,233.625,0.5,233.5,233.75,0.375,0.625,1.8689911365509033,1.2157927751541138,1.4036526679992676,24.582618713378906,24.300012588500977,23.283531188964844,0.0686093121767044,0.06249757061376101,4,64.0024877882095
2338p007,233.875,0.75,233.75,234.0,0.625,0.875,1.8846653699874878,1.3812754154205322,1.4056819677352905,24.621973037719727,24.309921264648438,23.20392608642578,0.07027901709079742,0.062494595897972786,41,656.0567263597582
2341p007,234.125,0.75,234.0,234.25,0.625,0.875,1.8280881643295288,1.254426121711731,1.4962137937545776,24.709501266479492,24.42499351501465,23.374387741088867,0.07549767941236496,0.062494595897972786,4,64.0055342790008
2343p007,234.375,0.75,234.25,234.5,0.625,0.875,1.897645115852356,1.3324655294418335,1.3803049325942993,24.607646942138672,24.310230255126953,23.32554817199707,0.09125663340091705,0.06249459589798551,6,96.00830141848165
2346p005,234.625,0.5,234.5,234.75,0.375,0.625,1.7433205842971802,1.2238211631774902,1.4658867120742798,24.692506790161133,24.39805793762207,23.340450286865234,0.09322012215852737,0.062497570613748284,4,64.00248778822254
2348p005,234.875,0.5,234.75,235.0,0.375,0.625,1.7289748191833496,1.218934178352356,1.4966102838516235,24.747421264648438,24.413341522216797,23.30167007446289,0.09845844656229019,0.062497570613748284,6,96.00373168233381
2351p005,235.125,0.5,235.0,235.25,0.375,0.625,1.5037195682525635,1.3860498666763306,1.5847349166870117,24.70057487487793,24.249576568603516,23.12648582458496,0.09748099744319916,0.06249757061376101,7,112.00435362936663
2353p002,235.375,0.25,235.25,235.5,0.125,0.375,1.4380334615707397,1.3825039863586426,1.594598412513733,24.830656051635742,24.270124435424805,23.13275909423828,0.08844797313213348,0.06249935546586763,7,112.00115501707637
2356p002,235.625,0.25,235.5,235.75,0.125,0.375,1.4215800762176514,1.3753830194473267,1.6118050813674927,24.845203399658203,24.280048370361328,23.126943588256836,0.09173806756734848,0.06249935546586763,12,192.0019800292738
2358p002,235.875,0.25,235.75,236.0,0.125,0.375,1.4316004514694214,1.3757303953170776,1.5814300775527954,24.850040435791016,24.280282974243164,23.141273498535156,0.09152297675609589,0.06249935546588035,12,192.00198002923472
2361p005,236.125,0.5,236.0,236.25,0.375,0.625,1.4906820058822632,1.4286729097366333,1.512861728668213,24.80933380126953,24.235275268554688,23.1074161529541,0.09637828171253204,0.062497570613748284,7,112.00435362938943
2363p005,236.375,0.5,236.25,236.5,0.375,0.625,1.5467889308929443,1.4872398376464844,1.519350528717041,24.673233032226562,24.21400260925293,23.09027862548828,0.09672394394874573,0.062497570613748284,13,208.00808531172322
2363p002,236.375,0.25,236.25,236.5,0.125,0.375,1.5320080518722534,1.484744906425476,1.3708622455596924,24.902843475341797,24.403892517089844,23.290313720703125,0.09364431351423264,0.06249935546586763,11,176.0018150268343
2363p000,236.375,0.0,236.25,236.5,-0.125,0.125,1.5152267217636108,1.4844385385513306,1.4175647497177124,24.882686614990234,24.38290023803711,23.251285552978516,0.09753335267305374,0.06249995042034974,11,176.00013961640587
2361p002,236.125,0.25,236.0,236.25,0.125,0.375,1.4422178268432617,1.3627578020095825,1.545210599899292,24.8198299407959,24.385913848876953,23.195735931396484,0.09618594497442245,0.06249935546586763,7,112.00115501707637
2361p000,236.125,0.0,236.0,236.25,-0.125,0.125,1.4867042303085327,1.416648507118225,1.4536575078964233,24.892757415771484,24.404281616210938,23.293582916259766,0.09801401942968369,0.06249995042034974,2,32.00002538480107
2358p000,235.875,0.0,235.75,236.0,-0.125,0.125,1.4340572357177734,1.3644365072250366,1.575524926185608,24.826173782348633,24.419845581054688,23.17612075805664,0.0912674069404602,0.062499950420362466,6,96.00007615438366
2356p000,235.625,0.0,235.5,235.75,-0.125,0.125,1.4320871829986572,1.3757960796356201,1.6014949083328247,24.816890716552734,24.243560791015625,23.13376235961914,0.0919174998998642,0.06249995042034974,6,96.00007615440322
2353p000,235.375,0.0,235.25,235.5,-0.125,0.125,1.4387248754501343,1.3740458488464355,1.5917036533355713,24.813644409179688,24.248981475830078,23.142518997192383,0.09328173100948334,0.06249995042034974,10,160.00012692400534
2351p000,235.125,0.0,235.0,235.25,-0.125,0.125,1.5923436880111694,1.2758787870407104,1.607269287109375,24.811275482177734,24.314361572265625,23.24080467224121,0.09307824820280075,0.062499950420362466,14,224.00017769356188
2348p000,234.875,0.0,234.75,235.0,-0.125,0.125,1.646766185760498,1.3045514822006226,1.5039076805114746,24.929462432861328,24.480934143066406,23.381986618041992,0.08912722021341324,0.06249995042034974,6,96.00007615440322
2346p000,234.625,0.0,234.5,234.75,-0.125,0.125,1.7021105289459229,1.2948641777038574,1.3943145275115967,24.869373321533203,24.540691375732422,23.4578800201416,0.08583451807498932,0.06249995042034974,3,48.00003807720161
2343p000,234.375,0.0,234.25,234.5,-0.125,0.125,1.6939870119094849,1.2338676452636719,1.4755728244781494,24.754486083984375,24.460163116455078,23.385875701904297,0.08649653196334839,0.062499950420362466,12,192.00015230876733
2341p002,234.125,0.25,234.0,234.25,0.125,0.375,1.8193535804748535,1.213521122932434,1.4186811447143555,24.618234634399414,24.309986114501953,23.274404525756836,0.07460671663284302,0.06249935546586763,6,96.0009900146369
2338p000,233.875,0.0,233.75,234.0,-0.125,0.125,1.8458638191223145,1.2295112609863281,1.4105725288391113,24.56741714477539,24.292509078979492,23.27569580078125,0.08043676614761353,0.06249995042034974,10,160.00012692400534
2341p000,234.125,0.0,234.0,234.25,-0.125,0.125,1.8163015842437744,1.2232064008712769,1.4090194702148438,24.589317321777344,24.29783058166504,23.281757354736328,0.0874876007437706,0.06249995042034974,4,64.00005076960214
2351p002,235.125,0.25,235.0,235.25,0.125,0.375,1.6166250705718994,1.2698993682861328,1.6158195734024048,24.89550018310547,24.475486755371094,23.305130004882812,0.09370686858892441,0.06249935546588035,6,96.00099001461736
2348p002,234.875,0.25,234.75,235.0,0.125,0.375,1.7107900381088257,1.2832345962524414,1.4099880456924438,24.795955657958984,24.478778839111328,23.383665084838867,0.09013698995113373,0.06249935546586763,10,160.00165002439482
2346p002,234.625,0.25,234.5,234.75,0.125,0.375,1.7183562517166138,1.2861381769180298,1.3860254287719727,24.812320709228516,24.50000762939453,23.432727813720703,0.08964958041906357,0.06249935546586763,7,112.00115501707637
2343p002,234.375,0.25,234.25,234.5,0.125,0.375,1.700670838356018,1.2265127897262573,1.4705981016159058,24.711750030517578,24.491422653198242,23.425588607788086,0.08309535682201385,0.06249935546588035,16,256.0026400389796
